Gene Identifier,Gene Symbol,Allele,Strain Identifier,Temp,Vph1_Num_cells_secondary,Vph1_Num_wells_secondary,Vph1_penetrance_secondary,Vph1_class E_secondary,Vph1_class G_secondary,Vph1_enlarged_secondary,Vph1_fragmented_secondary,Vph1_multilobed_secondary,Vph1_V-ATPase defect_secondary,Vph1_WT_secondary,Vph1_none_secondary,Snf7_Num_cells_secondary,Snf7_Num_wells_secondary,Snf7_penetrance_secondary,Snf7_condensed_secondary,Snf7_fragmented_secondary,Snf7_membrane_secondary,Snf7_WT_secondary,Snf7_none_secondary,Sla1_Num_cells_secondary,Sla1_Num_wells_secondary,Sla1_penetrance_secondary,Sla1_aggregate_secondary,Sla1_decreased patch number_secondary,Sla1_depolarized patches_secondary,Sla1_increased patch number_secondary,Sla1_WT_secondary,Sla1_none_secondary,Sac6_Num_cells_secondary,Sac6_Num_wells_secondary,Sac6_penetrance_secondary,Sac6_aggregate_secondary,Sac6_bright patches_secondary,Sac6_decreased patch number_secondary,Sac6_depolarized patches_secondary,Sac6_WT_secondary,Sac6_none_secondary
YNL248C,RPA49,,DMA-SLOW346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YNL213C,RRG9,,DMA-SLOW348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOR096W,RPS7A,,DMA-SLOW349,,400,2,5.8,0.015,0,0.018,0.013,0.01,0.003,0.943,0,278,2,26.3,0.119,0.061,0.05,0.737,0.032,728,2,23.2,0.034,0.054,0.051,0.089,0.768,0.004,406,2,25.6,0.01,0.14,0.047,0.047,0.744,0.012
YOR073W,SGO1,,DMA-SLOW350,,1670,2,7.5,0.008,0.019,0.002,0.024,0.022,0,0.925,0,645,2,22.6,0.045,0.11,0.054,0.774,0.017,1144,2,31.3,0.044,0.081,0.17,0.012,0.687,0.006,1931,2,22.9,0.012,0.038,0.022,0.147,0.771,0.01
YOL148C,SPT20,,DMA-SLOW352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL100W,PKH2,,DMA-SLOW353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL096C,COQ3,,DMA-SLOW354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOL076W,MDM20,,DMA-SLOW355,,1163,2,23,0.012,0.003,0.004,0.014,0.187,0.01,0.77,0,,,,,,,,,429,2,22.6,0.016,0.11,0.075,0.019,0.774,0.007,397,2,41.6,0.015,0.184,0.071,0.139,0.584,0.008
YOL033W,MSE1,,DMA-SLOW358,,138,2,25.4,0.022,0,0.014,0.101,0.094,0.022,0.746,0,32,1,46.9,0.094,0.375,0,0.531,0,104,2,37.5,0.067,0.067,0.192,0.038,0.625,0.01,194,1,25.8,0.015,0.077,0.031,0.124,0.742,0.01
YOL023W,IFM1,,DMA-SLOW359,,709,2,17.5,0.003,0.001,0.014,0.048,0.1,0.008,0.825,0,1078,2,22.8,0.062,0.117,0.026,0.772,0.023,256,2,39.8,0.09,0.086,0.176,0.031,0.602,0.016,368,2,21.7,0.024,0.071,0.052,0.065,0.783,0.005
YBR097W,VPS15,,DMA-SLOW36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YNR070W,PDR18,,DMA-SLOW360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOR305W,RRG7,,DMA-SLOW362,,1114,2,16.7,0.005,0.009,0.001,0.047,0.101,0.003,0.833,0.001,825,2,25.2,0.029,0.215,0.006,0.748,0.002,506,2,33,0.053,0.089,0.156,0.024,0.67,0.008,711,2,22.2,0.018,0.048,0.056,0.097,0.778,0.003
YOR295W,UAF30,,DMA-SLOW363,,597,2,25.6,0.007,0.003,0.05,0.132,0.06,0.003,0.744,0,315,2,42.9,0.06,0.279,0.063,0.571,0.025,529,2,21,0.043,0.019,0.034,0.112,0.79,0.002,400,2,43.3,0.015,0.4,0.01,0.005,0.568,0.003
YOR241W,MET7,,DMA-SLOW366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOR211C,MGM1,,DMA-SLOW367,,584,2,16.1,0.01,0.002,0.01,0.058,0.079,0.002,0.839,0,706,2,19.5,0.062,0.125,0.004,0.805,0.004,201,2,50.2,0.1,0.04,0.05,0.303,0.498,0.01,445,2,21.6,0.016,0.049,0.049,0.101,0.784,0
YOR205C,GEP3,,DMA-SLOW368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOR199W,,,DMA-SLOW369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YCR047C,BUD23,,DMA-SLOW37,,365,2,14.2,0.019,0.003,0.077,0.027,0.008,0.008,0.858,0,257,2,27.6,0.101,0.047,0.109,0.724,0.019,297,2,28.6,0.027,0.017,0.047,0.192,0.714,0.003,283,2,30,0.007,0.244,0.011,0.025,0.7,0.014
YOR198C,BFR1,,DMA-SLOW370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302,1,37.7,0.023,0.013,0.192,0.146,0.623,0.003
YOR187W,TUF1,,DMA-SLOW371,,493,2,42,0.002,0,0.276,0.063,0.055,0.024,0.58,0,42,1,57.1,0,0.429,0.071,0.429,0.071,112,2,35.7,0.027,0.223,0.08,0.027,0.643,0,125,2,17.6,0,0.072,0.024,0.064,0.824,0.016
YOR130C,ORT1,,DMA-SLOW372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPL049C,DIG1,,DMA-SLOW374,,,,,,,,,,,,,,,,,,,,,1012,1,22.9,0.019,0.141,0.05,0.015,0.771,0.004,,,,,,,,,
YPL040C,ISM1,,DMA-SLOW377,,165,2,46.1,0.012,0,0.255,0.055,0.133,0.006,0.539,0,171,2,71.9,0.041,0.591,0.041,0.281,0.047,324,2,23.5,0.031,0.108,0.049,0.04,0.765,0.006,66,2,21.2,0.03,0.045,0.061,0.076,0.788,0
YPL029W,SUV3,,DMA-SLOW379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YCR046C,IMG1,,DMA-SLOW38,,1878,2,8.5,0.01,0.019,0.014,0.024,0.018,0.001,0.915,0,1187,2,24.1,0.063,0.119,0.024,0.759,0.035,965,2,32.8,0.038,0.127,0.119,0.035,0.672,0.008,536,2,14.7,0.013,0.041,0.013,0.075,0.853,0.006
YPL013C,MRPS16,,DMA-SLOW380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPL005W,AEP3,,DMA-SLOW381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPL002C,SNF8,,DMA-SLOW382,,375,2,76.5,0.299,0.013,0.005,0.309,0.136,0.003,0.235,0,523,2,88.1,0.851,0.013,0.002,0.119,0.015,263,2,86.7,0.73,0.004,0.076,0.053,0.133,0.004,229,2,43.2,0.066,0.192,0.017,0.144,0.568,0.013
YOR332W,VMA4,,DMA-SLOW383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOR330C,MIP1,,DMA-SLOW384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPL173W,MRPL40,,DMA-SLOW385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPL148C,PPT2,,DMA-SLOW386,,193,2,22.8,0.01,0.005,0.083,0.078,0.052,0,0.772,0,36,1,50,0.028,0.222,0.167,0.5,0.083,264,2,25.8,0.064,0.049,0.076,0.057,0.742,0.011,263,2,17.9,0.004,0.053,0.034,0.076,0.821,0.011
YPL132W,COX11,,DMA-SLOW387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPL129W,TAF14,,DMA-SLOW388,,,,,,,,,,,,,,,,,,,,,58,2,34.5,0.017,0.069,0.103,0.121,0.655,0.034,420,2,11.2,0,0.021,0.021,0.069,0.888,0
YPL118W,MRP51,,DMA-SLOW389,,1634,2,7.9,0.007,0.006,0.01,0.02,0.036,0,0.921,0,879,2,18,0.044,0.082,0.023,0.82,0.031,684,2,25.6,0.031,0.08,0.129,0.01,0.744,0.006,1005,2,17.7,0.005,0.04,0.052,0.076,0.823,0.005
YCR028C,FEN2,,DMA-SLOW39,,2279,2,7,0.005,0.015,0.014,0.021,0.013,0,0.93,0,1388,2,17.9,0.053,0.084,0.02,0.821,0.022,1219,2,27.9,0.031,0.107,0.126,0.01,0.721,0.005,1275,2,16.4,0.004,0.01,0.089,0.058,0.836,0.003
YPL104W,MSD1,,DMA-SLOW390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPL097W,MSY1,,DMA-SLOW391,,276,2,15.9,0.011,0.011,0.004,0.054,0.076,0.004,0.841,0,37,2,48.6,0.054,0.378,0,0.514,0.054,116,2,48.3,0.069,0.052,0.31,0.009,0.517,0.043,102,2,50,0.059,0.039,0.078,0.314,0.5,0.01
YPL084W,BRO1,,DMA-SLOW392,,170,2,28.2,0.035,0.012,0.029,0.076,0.118,0.012,0.718,0,824,2,18,0.028,0.112,0.028,0.82,0.012,58,2,53.4,0.052,0.138,0.31,0.034,0.466,0,29,2,79.3,0.103,0,0.172,0.483,0.207,0.034
YPL078C,ATP4,,DMA-SLOW393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPL077C,,,DMA-SLOW394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPL065W,VPS28,,DMA-SLOW395,,461,2,66.4,0.308,0.009,0,0.202,0.139,0.004,0.336,0.002,675,2,43.9,0.055,0.339,0.028,0.561,0.016,139,2,87.1,0.734,0,0.05,0.072,0.129,0.014,221,2,24.4,0.027,0.1,0.023,0.077,0.756,0.018
YPL059W,GRX5,,DMA-SLOW396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBL006C,LDB7,,DMA-SLOW4,,492,1,47.4,0.006,0.002,0.014,0.049,0.4,0.002,0.526,0,206,2,96.6,0.019,0.437,0.505,0.034,0.005,15,1,73.3,0,0.733,0,0,0.267,0,198,2,56.1,0.045,0.051,0.121,0.328,0.439,0.015
YCR024C,SLM5,,DMA-SLOW40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPR047W,MSF1,,DMA-SLOW400,,319,2,30.1,0.019,0,0.047,0.141,0.088,0.006,0.699,0,,,,,,,,,382,2,25.4,0.039,0.021,0.131,0.055,0.746,0.008,466,2,24.5,0.011,0.069,0.039,0.116,0.755,0.011
YPR036W,VMA13,,DMA-SLOW401,,908,2,17.4,0.019,0.089,0,0.022,0.044,0,0.826,0,,,,,,,,,600,2,34,0.052,0.102,0.148,0.032,0.66,0.007,324,1,24.1,0.012,0.037,0.09,0.099,0.759,0.003
YPL271W,ATP15,,DMA-SLOW402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPL268W,PLC1,,DMA-SLOW403,,215,2,42.8,0.009,0.009,0.009,0.191,0.191,0.014,0.572,0.005,,,,,,,,,75,2,48,0.067,0.04,0.28,0.08,0.52,0.013,105,2,65.7,0.019,0.038,0.095,0.467,0.343,0.038
YPL234C,VMA11,,DMA-SLOW405,,,,,,,,,,,,,,,,,,,,,11,1,45.5,0.182,0,0.182,0.091,0.545,0,8,1,37.5,0.125,0,0.125,0.125,0.625,0
YPL215W,CBP3,,DMA-SLOW406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPL193W,RSA1,,DMA-SLOW407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPR166C,MRP2,,DMA-SLOW410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPR163C,TIF3,,DMA-SLOW411,,,,,,,,,,,,,40,1,87.5,0.1,0.075,0.65,0.125,0.05,70,2,24.3,0.071,0.1,0.029,0.043,0.757,0,194,2,34.5,0,0.289,0.01,0.046,0.655,0
YPR139C,LOA1,,DMA-SLOW413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPR131C,NAT3,,DMA-SLOW414,,334,2,19.2,0.003,0,0.081,0.036,0.06,0.012,0.808,0,466,2,30.3,0.009,0.058,0.185,0.697,0.052,327,2,13.8,0.028,0.037,0.04,0.034,0.862,0,637,2,45.1,0.025,0.408,0.005,0.009,0.549,0.003
YPR124W,CTR1,,DMA-SLOW415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPR116W,RRG8,,DMA-SLOW416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPR101W,SNT309,,DMA-SLOW417,,813,2,48,0.01,0.001,0.262,0.144,0.009,0.053,0.52,0.001,565,2,46.5,0.009,0.377,0.06,0.535,0.019,160,2,18.8,0.038,0.025,0.056,0.063,0.813,0.006,612,2,15.5,0,0.131,0.013,0.01,0.845,0.002
YPR100W,MRPL51,,DMA-SLOW418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPR099C,,,DMA-SLOW419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YCR004C,YCP4,,DMA-SLOW42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOR201C,MRM1,,DMA-SLOW421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOR200W,,,DMA-SLOW422,,688,2,22.4,0.017,0.009,0.038,0.061,0.093,0.006,0.776,0,717,2,34,0.084,0.213,0.022,0.66,0.021,185,2,50.3,0.022,0.276,0.173,0.027,0.497,0.005,347,2,23.6,0.012,0.069,0.035,0.104,0.764,0.017
YNL025C,SSN8,,DMA-SLOW423,,633,2,9.2,0.03,0.006,0.006,0.022,0.025,0.002,0.908,0,1586,2,57.7,0.058,0.093,0.342,0.423,0.084,377,2,45.1,0.09,0.08,0.228,0.053,0.549,0,408,2,31.4,0.017,0.029,0.118,0.142,0.686,0.007
YML086C,ALO1,,DMA-SLOW424,,1368,2,7.2,0.01,0.011,0.007,0.018,0.026,0.001,0.928,0,663,2,19,0.021,0.13,0.024,0.81,0.015,1052,2,26,0.041,0.123,0.064,0.029,0.74,0.004,2289,2,20.8,0.015,0.023,0.076,0.089,0.792,0.006
YLR204W,QRI5,,DMA-SLOW425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR067C,PET309,,DMA-SLOW426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YKL016C,ATP7,,DMA-SLOW427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YGR112W,SHY1,,DMA-SLOW429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YCR003W,MRPL32,,DMA-SLOW43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YGR057C,LST7,,DMA-SLOW430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFR036W,CDC26,,DMA-SLOW431,,2372,2,7,0.009,0.018,0.003,0.011,0.028,0.001,0.93,0,961,2,25.8,0.151,0.094,0.008,0.742,0.005,1287,2,23.2,0.03,0.112,0.071,0.016,0.768,0.003,935,2,23.3,0.018,0.05,0.064,0.091,0.767,0.01
YDR433W,,,DMA-SLOW432,,161,2,38.5,0,0.006,0.019,0.149,0.193,0.012,0.615,0.006,33,1,48.5,0.061,0.364,0.03,0.515,0.03,247,2,44.1,0.073,0.012,0.251,0.081,0.559,0.024,323,2,46.1,0.022,0.316,0.015,0.099,0.539,0.009
YCR002C,CDC10,,DMA-SLOW44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YCL058C,FYV5,,DMA-SLOW45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YCL008C,STP22,,DMA-SLOW46,,352,2,62.5,0.156,0.003,0.003,0.287,0.168,0.006,0.375,0.003,627,2,43.2,0.081,0.289,0.048,0.568,0.014,142,2,88.7,0.761,0,0.042,0.063,0.113,0.021,233,2,30.9,0.009,0.197,0.009,0.09,0.691,0.004
YCL007C,,,DMA-SLOW47,,,,,,,,,,,,,,,,,,,,,21,1,14.3,0,0,0.048,0.095,0.857,0,22,1,68.2,0.091,0.136,0.136,0.273,0.318,0.045
YCL005W,LDB16,,DMA-SLOW48,,770,2,33.6,0,0.004,0.135,0.055,0.131,0.01,0.664,0.001,223,2,83.4,0.063,0.09,0.673,0.166,0.009,223,2,50.7,0.099,0.251,0.076,0.072,0.493,0.009,714,2,20.7,0.003,0.042,0.074,0.084,0.793,0.004
YDL057W,,,DMA-SLOW49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBL002W,HTB2,,DMA-SLOW5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YDL049C,KNH1,,DMA-SLOW50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YDL075W,RPL31A,,DMA-SLOW51,,,,,,,,,,,,,,,,,,,,,32,1,78.1,0.031,0.219,0.531,0,0.219,0,427,2,14.5,0.002,0.023,0.033,0.075,0.855,0.012
YDL045W-A,MRP10,,DMA-SLOW52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YDL044C,MTF2,,DMA-SLOW53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YDL032W,,,DMA-SLOW54,,890,2,16.1,0.003,0.002,0.003,0.049,0.098,0.004,0.839,0,916,2,26.1,0.071,0.139,0.031,0.739,0.021,632,2,34.5,0.047,0.117,0.139,0.036,0.655,0.005,403,2,29.8,0.02,0.045,0.072,0.154,0.702,0.007
YDL022W,GPD1,,DMA-SLOW55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YDL009C,,,DMA-SLOW57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YCR094W,CDC50,,DMA-SLOW58,,122,2,33.6,0.033,0.025,0,0.107,0.172,0,0.664,0,,,,,,,,,162,2,85.8,0.494,0.012,0.265,0.074,0.142,0.012,143,2,89.5,0.196,0,0.119,0.573,0.105,0.007
YCR084C,TUP1,,DMA-SLOW59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YAL044C,GCV3,,DMA-SLOW6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YCR066W,RAD18,,DMA-SLOW60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YDR017C,KCS1,,DMA-SLOW61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YDL151C,BUD30,,DMA-SLOW64,,344,2,24.4,0.029,0.006,0.02,0.07,0.116,0.003,0.756,0,185,2,74.1,0.011,0.692,0.016,0.259,0.022,216,2,40.3,0.042,0.134,0.194,0.028,0.597,0.005,261,2,34.5,0.011,0.034,0.111,0.165,0.655,0.023
YDL116W,NUP84,,DMA-SLOW65,,286,2,27.3,0.017,0.014,0.003,0.045,0.189,0.003,0.727,0,198,2,36.4,0.02,0.298,0.035,0.636,0.01,113,2,41.6,0.009,0.142,0.204,0.053,0.584,0.009,379,2,49.1,0.026,0.018,0.098,0.343,0.509,0.005
YDL107W,MSS2,,DMA-SLOW66,,1513,2,8.4,0.007,0.009,0.006,0.02,0.041,0,0.916,0,937,2,21.8,0.039,0.13,0.032,0.782,0.016,839,2,29.3,0.044,0.103,0.118,0.013,0.707,0.015,1674,2,16.5,0.005,0.029,0.047,0.082,0.835,0.003
YDL047W,SIT4,,DMA-SLOW67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YDL073W,,,DMA-SLOW68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YDL069C,CBS1,,DMA-SLOW69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YAL039C,CYC3,,DMA-SLOW7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YDL068W,,,DMA-SLOW70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YDL067C,COX9,,DMA-SLOW71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YDL063C,SYO1,,DMA-SLOW72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YDR176W,NGG1,,DMA-SLOW73,,103,2,38.8,0.029,0,0.165,0.107,0.058,0.029,0.612,0,150,2,38,0.047,0.32,0.007,0.62,0.007,98,2,35.7,0.041,0.112,0.133,0.061,0.643,0.01,209,2,20.6,0.01,0.096,0.033,0.062,0.794,0.005
YDR175C,RSM24,,DMA-SLOW74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YDR140W,MTQ2,,DMA-SLOW75,,413,2,10.9,0.012,0,0.027,0.034,0.036,0,0.891,0,113,2,34.5,0.195,0.142,0.009,0.655,0,112,2,34.8,0.107,0.027,0.045,0.17,0.652,0,804,2,11.1,0.005,0.068,0.007,0.025,0.889,0.005
YDR137W,RGP1,,DMA-SLOW76,,653,2,72.9,0,0.057,0,0.556,0.115,0.002,0.271,0,39,1,84.6,0,0.821,0.026,0.154,0,166,2,55.4,0.06,0.072,0.422,0,0.446,0,377,2,75.1,0.095,0.016,0.13,0.499,0.249,0.011
YDR136C,VPS61,,DMA-SLOW77,,426,2,65.7,0.002,0.07,0.005,0.484,0.094,0.002,0.343,0,,,,,,,,,236,2,63.6,0.034,0.068,0.525,0.008,0.364,0,250,2,65.2,0.056,0.012,0.144,0.408,0.348,0.032
YDR129C,SAC6,,DMA-SLOW78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YDR115W,MRX14,,DMA-SLOW79,,95,2,38.9,0.021,0,0.063,0.168,0.116,0.021,0.611,0,43,2,62.8,0,0.535,0.093,0.372,0,579,2,25.7,0.005,0.231,0.01,0.009,0.743,0.002,549,2,49.4,0.029,0.015,0.235,0.208,0.506,0.007
YAL035W,FUN12,,DMA-SLOW8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YDR114C,,,DMA-SLOW80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YDR079W,PET100,,DMA-SLOW81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YDR078C,SHU2,,DMA-SLOW82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YDR069C,DOA4,,DMA-SLOW83,,92,2,59.8,0.022,0.033,0,0.467,0.054,0.022,0.402,0,942,2,20.7,0.081,0.069,0.034,0.793,0.023,73,2,67.1,0.068,0.096,0.438,0.055,0.329,0.014,11,1,27.3,0,0,0.091,0.182,0.727,0
